Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
1,11.35,11.35,3,11.80,11.80,2,11.58,,4,11.95,11.95,5,12.05,12.05
1,13.55,24.90,3,13.39,25.19,2,13.48,,4,13.35,25.30,5,13.38,25.43
1,12.35,37.25,3,12.31,37.50,2,12.34,,4,12.32,37.62,5,12.31,37.74
1,11.94,49.19,3,11.97,49.47,2,11.95,,4,11.99,49.61,5,11.99,49.73
1,11.76,1:00.95,3,11.70,1:01.17,2,11.73,,4,11.68,1:01.29,5,11.65,1:01.38
1,11.55,1:12.50,3,11.59,1:12.76,2,11.55,,4,11.58,1:12.87,5,11.61,1:12.99
1,11.23,1:23.73,3,11.22,1:23.98,1,11.10,,4,11.20,1:24.07,5,11.20,1:24.19
1,10.63,1:34.36,3,10.54,1:34.52,2,10.67,,4,10.53,1:34.60,5,10.48,1:34.67
1,10.08,1:44.44,3,10.16,1:44.68,2,10.16,,4,10.18,1:44.78,5,10.29,1:44.96
2,10.18,1:54.62,3,10.03,1:54.71,5,10.18,,1,9.74,1:54.52,3,9.75,1:54.71
2,9.51,2:04.13,4,9.66,2:04.37,5,10.19,,1,9.47,2:03.99,3,9.54,2:04.25
2,9.49,2:13.62,3,9.40,2:13.77,5,9.97,,1,9.28,2:13.27,4,9.54,2:13.79
3,9.68,2:23.30,2,9.11,2:22.88,5,10.43,,1,9.40,2:22.67,4,9.63,2:23.42
3,9.76,2:33.06,1,9.27,2:32.15,5,11.09,,2,9.70,2:32.371,4,9.85,2:33.275
