J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
5,10.83,10.83,4,10.69,10.69,2,10.37,10.37,6,10.95,10.95,1,10.17,10.17,3,10.49,10.49
5,15.59,26.42,4,15.48,26.17,3,15.52,25.89,6,15.61,26.56,1,15.56,25.73,2,15.34,25.83
6,14.72,41.14,4,14.55,40.72,3,14.65,40.54,5,14.29,40.85,1,14.55,40.28,2,14.58,40.41
6,12.48,53.62,2,12.44,53.16,1,12.61,53.15,5,12.55,53.40,4,12.97,53.25,3,12.80,53.21
6,11.09,1:04.71,3,11.15,1:04.31,2,11.15,1:04.30,1,10.89,1:04.29,5,11.29,1:04.54,4,11.19,1:04.40
6,10.30,1:15.01,3,10.27,1:14.58,4,10.42,1:14.72,2,10.19,1:14.48,1,9.93,1:14.47,5,10.43,1:14.83
6,9.76,1:24.77,4,10.00,1:24.58,3,9.72,1:24.44,1,9.82,1:24.30,2,9.92,1:24.39,5,9.86,1:24.69
5,9.82,1:34.59,4,9.90,1:34.48,3,10.03,1:34.47,2,10.08,1:34.38,1,9.81,1:34.20,6,10.00,1:34.69
1,9.28,1:43.87,5,9.78,1:44.26,4,9.70,1:44.17,3,9.68,1:44.06,2,9.76,1:43.96,6,9.66,1:44.35
2,9.88,1:53.75,5,9.83,1:54.09,4,9.82,1:53.99,3,9.81,1:53.87,1,9.73,1:53.69,6,9.83,1:54.18
2,9.72,2:03.47,5,9.63,2:03.72,4,9.58,2:03.57,3,9.68,2:03.55,1,9.67,2:03.36,6,9.65,2:03.83
2,9.46,2:12.93,3,9.30,2:13.02,5,9.73,2:13.30,4,9.57,2:13.12,1,9.49,2:12.85,6,9.51,2:13.34
2,9.08,2:22.01,3,9.11,2:22.13,5,9.23,2:22.53,4,9.34,2:22.46,1,9.14,2:21.99,6,9.47,2:22.81
3,9.34,2:31.350,2,9.19,2:31.320,4,9.34,2:31.869,5,9.43,2:31.883,1,9.25,2:31.240,6,9.44,2:32.245
