MA Wei POSITION,MA Wei LAP TIME,MA Wei ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
1,6.79,6.79,3,6.98,6.98,2,6.87,6.87,4,7.10,7.10
1,8.58,15.37,3,8.79,15.77,2,8.67,15.54,4,8.81,15.91
1,8.27,23.64,3,8.17,23.94,2,8.18,23.72,4,8.22,24.13
3,8.69,32.33,2,8.36,32.30,1,8.47,32.19,4,8.48,32.61
4,9.03,41.340,2,8.70,40.986,1,8.71,40.892,3,8.66,41.257
