LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
2,6.99,6.99,1,6.77,6.77,3,7.12,7.12,4,7.39,7.39
2,8.82,15.81,1,8.91,15.68,3,8.91,16.03,4,8.99,16.38
2,8.62,24.43,1,8.67,24.35,3,8.54,24.57,4,8.52,24.90
2,8.81,33.24,1,8.80,33.15,3,8.78,33.35,4,8.57,33.47
1,8.72,41.955,2,8.89,42.036,3,8.91,42.259,4,9.03,42.492
