Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME
0,12.734,12.734,0,10.010,10.010,0,8.497,8.497,0,9.384,9.384,0,9.109,9.109,0,11.096,11.096
0,12.574,25.308,0,12.809,22.819,0,11.064,19.562,0,14.019,23.402,0,10.664,19.773,0,8.251,19.347
0,10.689,35.997,0,9.473,32.292,0,10.130,29.691,0,6.509,29.911,0,10.096,29.869,0,10.232,29.579
0,10.896,46.893,0,9.564,41.856,0,10.323,40.015,0,10.027,39.938,0,10.384,40.253,0,10.750,40.329
0,11.217,58.110,0,9.596,51.452,0,10.805,50.820,0,11.112,51.050,0,10.531,50.784,0,10.765,51.094
0,11.216,1:09.326,0,10.274,1:01.726,0,11.173,1:01.993,0,11.073,1:02.123,0,10.881,1:01.665,0,11.133,1:02.226
0,11.238,1:20.564,0,10.393,1:12.119,0,10.593,1:12.586,0,11.011,1:13.134,0,10.550,1:12.215,0,11.269,1:13.495
0,11.540,1:32.104,0,11.002,1:23.121,0,10.860,1:23.447,0,10.757,1:23.891,0,10.960,1:23.175,0,10.026,1:23.521
0,12.877,1:44.980,0,10.671,1:33.792,0,10.620,1:34.067,0,9.951,1:33.841,0,10.848,1:34.023,0,10.802,1:34.323
0,11.410,1:56.391,0,10.561,1:44.353,0,10.221,1:44.288,0,10.734,1:44.575,0,10.490,1:44.513,0,10.489,1:44.812
0,11.608,2:07.999,0,10.051,1:54.404,0,10.168,1:54.456,0,10.042,1:54.617,0,10.146,1:54.659,0,10.236,1:55.048
0,11.875,2:19.874,0,9.898,2:04.301,0,9.960,2:04.416,0,16.553,2:11.170,0,9.722,2:04.381,0,10.495,2:05.543
0,12.169,2:32.043,0,9.972,2:14.273,0,9.545,2:13.960,0,18.686,2:29.855,0,9.925,2:14.306,0,11.483,2:17.026
0,12.100,2:44.143,0,11.427,2:25.700,0,,,0,15.250,2:45.106,0,10.680,2:24.986,0,11.467,2:28.493
