Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME
2,9.18,9.18,4,9.54,9.54,3,9.35,9.35,1,9.06,9.06,5,9.69,9.69,6,9.78,9.78
2,12.33,21.51,4,12.19,21.73,3,12.26,21.61,1,12.32,21.38,6,12.10,21.79,5,11.98,21.76
3,10.99,32.50,5,11.05,32.78,4,11.06,32.67,2,11.02,32.40,6,11.10,32.89,1,10.57,32.33
3,10.13,42.63,5,10.07,42.85,4,10.07,42.74,1,9.98,42.38,6,10.05,42.94,2,10.19,42.52
3,10.02,52.65,5,10.01,52.86,4,10.01,52.75,1,10.08,52.46,6,10.01,52.95,2,10.03,52.55
3,10.20,1:02.85,5,10.19,1:03.05,4,10.19,1:02.94,1,10.13,1:02.59,6,10.18,1:03.13,2,10.13,1:02.68
3,9.81,1:12.66,5,9.81,1:12.86,4,9.82,1:12.76,1,9.85,1:12.44,6,9.74,1:12.87,2,9.85,1:12.53
3,9.53,1:22.19,6,9.62,1:22.48,5,9.56,1:22.32,1,9.53,1:21.97,4,9.36,1:22.23,2,9.55,1:22.08
6,9.51,1:31.70,5,9.20,1:31.68,4,9.20,1:31.52,1,9.29,1:31.26,3,9.23,1:31.46,2,9.29,1:31.37
6,9.63,1:41.33,5,9.25,1:40.93,4,9.27,1:40.79,1,9.30,1:40.56,2,9.24,1:40.70,3,9.36,1:40.73
6,9.85,1:51.18,4,9.04,1:49.97,3,9.15,1:49.94,2,9.38,1:49.94,1,9.02,1:49.72,5,9.64,1:50.37
6,10.13,2:01.31,2,8.92,1:58.89,3,9.01,1:58.95,4,9.52,1:59.46,1,8.91,1:58.63,5,10.20,2:00.57
6,10.42,2:11.73,2,9.22,2:08.11,3,9.20,2:08.15,4,9.80,2:09.26,1,8.97,2:07.60,5,10.70,2:11.27
6,10.54,2:22.262,2,9.47,2:17.572,3,9.46,2:17.605,4,10.15,2:19.409,1,9.17,2:16.761,5,10.82,2:22.085
