Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Leon BLOEMHOF POSITION,Leon BLOEMHOF LAP TIME,Leon BLOEMHOF ELAPSED TIME
2,7.19,7.19,1,6.92,6.92,3,7.21,7.21,5,7.54,7.54,4,7.24,7.24
3,9.14,16.33,1,8.96,15.88,2,8.86,16.07,5,8.92,16.46,4,9.12,16.36
5,9.00,25.33,2,8.55,24.43,1,8.35,24.42,3,8.51,24.97,4,8.66,25.02
5,8.63,33.96,2,8.61,33.04,1,8.45,32.87,3,8.56,33.53,4,8.66,33.68
5,8.72,42.68,2,8.67,41.71,1,8.65,41.52,3,8.61,42.14,4,8.82,42.50
