Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
5,14.22,14.22,3,14.14,14.14,1,14.12,14.12,2,14.12,14.12,4,14.22,14.22
4,10.89,25.11,3,10.89,25.03,1,10.73,24.85,2,10.80,24.92,5,10.90,25.12
3,10.10,35.21,5,10.42,35.45,2,10.30,35.15,4,10.36,35.28,1,9.98,35.10
4,10.00,45.21,5,9.79,45.24,3,9.97,45.12,2,9.77,45.05,1,9.86,44.96
5,9.80,55.01,1,9.38,54.62,4,9.89,55.01,3,9.83,54.88,2,9.88,54.84
4,9.57,1:04.58,1,9.26,1:03.88,5,9.75,1:04.76,3,9.69,1:04.57,2,9.20,1:04.04
5,10.33,1:14.91,1,9.49,1:13.37,4,10.14,1:14.90,3,9.76,1:14.33,2,9.47,1:13.51
5,10.32,1:25.23,1,9.41,1:22.78,4,10.08,1:24.98,3,9.96,1:24.29,2,9.51,1:23.02
4,10.57,1:35.792,1,9.87,1:32.643,0,,PEN,3,10.57,1:34.858,2,9.99,1:33.004
