AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,Metehan ATAN POSITION,Metehan ATAN LAP TIME,Metehan ATAN ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME
2,13.53,13.53,1,13.41,13.41,5,13.72,13.72,3,13.57,13.57,4,13.67,13.67,6,13.90,13.90
3,10.48,24.01,1,10.34,23.75,5,10.51,24.23,2,10.32,23.89,4,10.45,24.12,6,10.44,24.34
3,10.31,34.32,1,10.31,34.06,4,10.13,34.36,2,10.29,34.18,5,10.31,34.43,6,10.26,34.60
4,9.53,43.85,1,9.48,43.54,2,9.27,43.63,3,9.51,43.69,5,9.53,43.96,6,9.52,44.12
4,9.22,53.07,1,9.11,52.65,2,9.12,52.75,3,9.28,52.97,5,9.20,53.16,6,9.21,53.33
3,8.82,1:01.89,1,9.13,1:01.78,2,9.12,1:01.87,4,9.13,1:02.10,5,9.01,1:02.17,6,9.31,1:02.64
1,8.93,1:10.82,1,9.04,1:10.82,3,9.10,1:10.97,5,9.04,1:11.14,4,8.96,1:11.13,6,9.51,1:12.15
1,8.97,1:19.79,2,9.07,1:19.89,3,9.02,1:19.99,5,9.20,1:20.34,4,8.97,1:20.10,6,9.94,1:22.09
1,9.14,1:28.93,2,9.14,1:29.03,3,9.19,1:29.189,5,9.45,1:29.797,4,9.20,1:29.301,6,10.22,1:32.317
