SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,YATES Westley POSITION,YATES Westley LAP TIME,YATES Westley ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME,OH Han Yuan POSITION,OH Han Yuan LAP TIME,OH Han Yuan ELAPSED TIME
1,13.27,13.27,3,13.35,13.35,2,13.34,13.34,4,13.50,13.50,6,13.71,13.71,5,13.61,13.61
1,10.49,23.76,3,10.61,23.96,2,10.52,23.86,4,10.55,24.05,6,10.61,24.32,5,10.53,24.14
1,10.35,34.11,3,10.38,34.34,2,10.37,34.23,4,10.37,34.42,6,10.28,34.60,5,10.29,34.43
1,9.90,44.01,3,9.89,44.23,2,9.89,44.12,5,9.98,44.40,6,9.92,44.52,4,9.90,44.33
1,9.76,53.77,3,9.75,53.98,2,9.75,53.87,5,9.81,54.21,6,9.80,54.32,4,9.78,54.11
1,9.34,1:03.11,3,9.36,1:03.34,2,9.35,1:03.22,5,9.29,1:03.50,6,9.32,1:03.64,4,9.33,1:03.44
1,8.99,1:12.10,3,9.02,1:12.36,2,8.96,1:12.18,4,9.15,1:12.65,6,9.12,1:12.76,5,9.22,1:12.66
2,9.06,1:21.16,3,9.12,1:21.48,1,8.86,1:21.04,4,9.20,1:21.85,5,9.24,1:22.00,6,9.40,1:22.06
2,9.03,1:30.19,3,9.39,1:30.871,1,9.05,1:30.09,4,9.30,1:31.155,5,9.41,1:31.415,6,9.51,1:31.579
