LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
1,6.671,6.671,2,6.713,6.713,3,6.873,6.873,4,6.954,6.954
2,9.139,15.809,4,9.104,15.816,1,8.799,15.671,3,8.858,15.812
4,8.774,24.582,3,8.640,24.456,1,8.633,24.303,2,8.610,24.421
3,8.662,33.244,4,8.795,33.250,2,8.773,33.076,1,8.633,33.054
2,9.12,42.360,0,,DQ,3,9.85,42.925,1,9.00,42.045
