KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
4,7.35,7.35,2,7.14,7.14,1,7.06,7.06,3,7.23,7.23
4,9.22,16.57,2,9.11,16.25,1,9.01,16.07,3,9.16,16.39
4,8.26,24.83,2,8.33,24.58,1,8.35,24.42,3,8.41,24.80
3,8.37,33.20,2,8.54,33.12,1,8.61,33.03,4,8.56,33.36
1,8.60,41.797,3,8.86,41.971,2,8.78,41.806,4,8.72,42.077
