Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,8.91,8.91,3,9.11,9.11,4,9.19,9.19,7,9.65,9.65,2,9.04,9.04,5,9.24,9.24,6,9.43,9.43
3,12.94,21.85,4,12.85,21.96,1,12.49,21.68,7,12.85,22.50,2,12.69,21.73,5,12.79,22.03,6,12.88,22.31
3,11.36,33.21,4,11.43,33.39,2,11.51,33.19,7,11.28,33.78,1,11.42,33.15,5,11.45,33.48,6,11.28,33.59
1,10.50,43.71,4,10.69,44.08,3,10.75,43.94,7,10.67,44.45,2,10.69,43.84,5,10.68,44.16,6,10.68,44.27
1,10.76,54.47,4,10.67,54.75,3,10.67,54.61,7,10.61,55.06,2,10.70,54.54,5,10.68,54.84,6,10.70,54.97
1,10.67,1:05.14,7,10.79,1:05.54,4,10.81,1:05.42,5,10.38,1:05.44,2,10.73,1:05.27,3,10.57,1:05.41,6,10.48,1:05.45
2,9.82,1:14.96,7,9.96,1:15.50,6,9.99,1:15.41,1,9.35,1:14.79,3,9.79,1:15.06,5,9.85,1:15.26,4,9.74,1:15.19
2,9.75,1:24.71,7,9.62,1:25.12,3,9.38,1:24.79,1,9.86,1:24.65,5,9.82,1:24.88,6,9.69,1:24.95,4,9.63,1:24.82
1,9.40,1:34.11,5,9.77,1:34.89,7,36.32,2:01.11,2,9.58,1:34.23,6,10.08,1:34.96,4,9.85,1:34.80,3,9.79,1:34.61
1,9.45,1:43.56,5,9.35,1:44.24,7,18.76,2:19.87,2,9.41,1:43.64,6,9.36,1:44.32,4,9.30,1:44.10,3,9.31,1:43.92
1,9.56,1:53.12,5,9.42,1:53.66,7,14.37,2:34.24,2,9.56,1:53.20,6,9.42,1:53.74,4,9.49,1:53.59,3,9.35,1:53.27
1,9.55,2:02.67,6,10.19,2:03.85,7,12.54,2:46.78,2,9.61,2:02.81,4,9.80,2:03.54,5,10.03,2:03.62,3,9.65,2:02.92
1,9.64,2:12.31,6,10.53,2:14.38,7,11.28,2:58.06,2,9.58,2:12.39,4,9.60,2:13.14,5,10.17,2:13.79,3,9.58,2:12.50
1,10.17,2:22.479,5,11.50,2:25.877,6,11.67,3:09.727,2,10.26,2:22.644,3,10.16,2:23.292,4,10.99,2:24.773,0,,PEN
