LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,WANG Yichao POSITION,WANG Yichao LAP TIME,WANG Yichao ELAPSED TIME,LEE Suyoun POSITION,LEE Suyoun LAP TIME,LEE Suyoun ELAPSED TIME
3,14.15,14.15,4,14.27,14.27,2,14.08,14.08,1,13.93,13.93,5,14.41,14.41
3,10.82,24.97,4,10.80,25.07,2,10.81,24.89,1,10.86,24.79,5,10.76,25.17
3,10.67,35.64,4,10.68,35.75,2,10.66,35.55,1,10.66,35.45,5,10.70,35.87
3,10.24,45.88,3,10.13,45.88,2,10.23,45.78,1,10.25,45.70,5,10.18,46.05
4,9.88,55.76,3,9.77,55.65,5,10.11,55.89,1,9.86,55.56,1,9.51,55.56
4,9.32,1:05.08,3,9.33,1:04.98,5,9.32,1:05.21,2,9.35,1:04.91,1,9.08,1:04.64
4,9.12,1:14.20,2,9.10,1:14.08,5,9.05,1:14.26,3,9.28,1:14.19,1,9.37,1:14.01
3,9.43,1:23.63,1,9.35,1:23.43,5,9.49,1:23.75,4,9.50,1:23.69,2,9.53,1:23.54
2,9.44,1:33.056,1,9.53,1:32.954,5,9.97,1:33.700,4,9.65,1:33.323,3,9.77,1:33.296
