Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
1,8.59,8.59,3,8.76,8.76,5,9.18,9.18,4,8.99,8.99,6,9.35,9.35,2,8.76,8.76
2,12.37,20.96,3,12.38,21.14,5,12.32,21.50,4,12.45,21.44,6,12.27,21.62,1,12.16,20.92
3,11.83,32.79,1,11.34,32.48,5,11.71,33.21,4,11.67,33.11,6,11.73,33.35,2,11.77,32.69
3,11.00,43.79,1,11.06,43.54,5,10.84,44.05,4,10.93,44.04,6,10.72,44.07,2,10.92,43.61
1,10.28,54.07,4,10.69,54.23,2,10.02,54.07,5,10.33,54.37,6,10.54,54.61,3,10.49,54.10
1,10.17,1:04.24,4,10.38,1:04.61,2,10.24,1:04.31,5,10.30,1:04.67,6,10.25,1:04.86,3,10.33,1:04.43
1,11.07,1:15.31,5,11.17,1:15.78,2,11.03,1:15.34,4,11.02,1:15.69,6,10.95,1:15.81,3,10.93,1:15.36
1,10.37,1:25.68,6,10.57,1:26.35,3,10.68,1:26.02,4,10.43,1:26.12,5,10.39,1:26.20,2,10.53,1:25.89
1,10.56,1:36.24,6,10.54,1:36.89,2,10.41,1:36.43,4,10.61,1:36.73,5,10.68,1:36.88,3,10.71,1:36.60
1,10.32,1:46.56,6,10.37,1:47.26,2,10.33,1:46.76,4,10.32,1:47.05,5,10.18,1:47.06,3,10.31,1:46.91
1,10.26,1:56.82,6,10.20,1:57.46,3,10.41,1:57.17,5,10.20,1:57.25,4,10.16,1:57.22,2,10.17,1:57.08
2,10.06,2:06.88,5,9.90,2:07.36,3,10.12,2:07.29,6,10.48,2:07.73,1,9.51,2:06.73,4,10.23,2:07.31
2,10.17,2:17.05,3,10.23,2:17.59,5,10.38,2:17.67,6,10.80,2:18.53,1,9.72,2:16.45,4,10.30,2:17.61
2,10.53,2:27.575,3,10.04,2:27.624,4,10.74,2:28.402,6,11.23,2:29.760,1,10.22,2:26.664,5,10.94,2:28.543
