GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,WANG Yichao POSITION,WANG Yichao LAP TIME,WANG Yichao ELAPSED TIME,CHEN Tong POSITION,CHEN Tong LAP TIME,CHEN Tong ELAPSED TIME,GONG Li POSITION,GONG Li LAP TIME,GONG Li ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
2,11.88,11.88,3,12.17,12.17,1,11.65,11.65,4,12.35,12.35,5,12.55,12.55,6,12.76,12.76
2,14.75,26.63,3,14.71,26.88,1,14.81,26.46,4,14.68,27.03,5,14.66,27.21,6,14.59,27.35
2,13.72,40.35,3,13.67,40.55,1,13.69,40.15,4,13.65,40.68,5,13.63,40.84,6,13.62,40.97
2,13.62,53.97,3,13.60,54.15,1,13.64,53.79,4,13.58,54.26,5,13.57,54.41,6,13.54,54.51
4,13.14,1:07.11,5,13.11,1:07.26,2,13.17,1:06.96,6,13.13,1:07.39,1,12.53,1:06.94,3,12.51,1:07.02
4,12.13,1:19.24,6,12.15,1:19.41,3,12.15,1:19.11,5,11.97,1:19.36,1,11.90,1:18.84,2,11.94,1:18.96
5,11.23,1:30.47,6,11.14,1:30.55,4,11.23,1:30.34,1,10.57,1:29.93,3,11.34,1:30.18,2,11.10,1:30.06
2,10.14,1:40.61,5,10.14,1:40.69,6,10.47,1:40.81,1,10.55,1:40.48,4,10.50,1:40.68,3,10.56,1:40.62
1,9.58,1:50.19,2,9.57,1:50.26,6,9.85,1:50.66,4,9.96,1:50.44,5,9.86,1:50.54,3,9.69,1:50.31
2,9.87,2:00.06,1,9.64,1:59.90,6,9.74,2:00.40,3,9.70,2:00.14,5,9.72,2:00.26,4,9.85,2:00.16
3,9.84,2:09.90,2,9.77,2:09.67,5,9.59,2:09.99,1,9.37,2:09.51,5,9.73,2:09.99,4,9.75,2:09.91
3,9.36,2:19.26,2,9.48,2:19.15,6,9.62,2:19.61,1,9.49,2:19.00,5,9.50,2:19.49,4,9.49,2:19.40
3,9.53,2:28.79,2,9.55,2:28.70,6,9.50,2:29.11,1,9.63,2:28.63,5,9.47,2:28.96,4,9.49,2:28.89
3,9.77,2:38.551,2,9.80,2:38.482,6,9.89,2:38.980,1,9.78,2:38.396,5,9.89,2:38.835,4,9.79,2:38.661
