Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME
1,7.49,7.49,2,7.59,7.59,4,7.84,7.84,3,7.70,7.70
1,9.73,17.22,2,9.66,17.25,4,9.68,17.52,3,9.69,17.39
2,9.21,26.43,1,9.09,26.34,4,9.14,26.66,3,9.21,26.60
2,9.07,35.50,1,9.10,35.44,3,9.14,35.80,4,9.48,36.08
2,9.33,44.827,1,9.32,44.755,3,9.09,44.885,4,9.81,45.887
