CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME
1,13.17,13.17,4,13.78,13.78,2,13.37,13.37,3,13.63,13.63
1,10.15,23.32,4,9.97,23.76,2,10.08,23.45,3,10.01,23.64
1,10.18,33.50,4,10.08,33.84,2,10.12,33.57,3,10.09,33.74
1,9.99,43.50,4,10.24,44.09,2,10.12,43.70,3,10.11,43.85
1,10.10,53.60,4,10.10,54.19,2,10.03,53.73,3,10.11,53.97
1,10.15,1:03.75,4,9.95,1:04.15,2,10.10,1:03.84,3,10.04,1:04.01
2,10.08,1:13.84,4,10.09,1:14.24,1,9.88,1:13.72,3,9.93,1:13.94
3,10.36,1:24.21,4,10.47,1:24.71,1,9.51,1:23.23,2,9.59,1:23.54
3,10.87,1:35.072,4,10.88,1:35.588,1,9.94,1:33.170,2,9.73,1:33.268
