LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,7.05,7.05,4,7.18,7.18,1,6.91,6.91,3,7.18,7.18
2,9.37,16.42,3,9.73,16.91,1,9.10,16.01,4,17.80,24.98
2,8.47,24.89,3,8.71,25.62,1,8.77,24.78,4,12.93,37.91
1,8.70,33.59,3,8.74,34.36,2,9.17,33.95,4,11.97,49.88
1,9.00,42.582,3,8.94,43.295,2,9.32,43.270,0,,PEN
