CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME
4,9.60,9.60,5,9.70,9.70,6,9.78,9.78,1,9.47,9.47,2,9.48,,3,9.58,9.58,7,10.04,10.04
5,14.55,24.15,6,14.59,24.29,1,13.97,23.75,4,14.52,23.99,2,14.39,,3,14.36,23.94,7,14.47,24.51
5,12.34,36.49,6,12.35,36.64,1,12.25,36.00,4,12.39,36.38,2,12.27,,3,12.30,36.24,7,12.25,36.76
4,12.14,48.63,5,12.12,48.76,2,12.43,48.43,6,12.51,48.89,3,12.37,,1,12.17,48.41,7,12.30,49.06
4,11.35,59.98,6,11.32,1:00.08,3,11.44,59.87,5,11.18,1:00.07,1,11.24,,2,11.41,59.82,6,11.02,1:00.08
6,10.25,1:10.23,7,10.30,1:10.38,4,10.12,1:09.99,5,10.02,1:10.09,2,10.05,,3,10.08,1:09.90,1,9.49,1:09.57
6,9.61,1:19.84,7,9.58,1:19.96,4,9.60,1:19.59,5,9.61,1:19.70,3,9.72,,2,9.61,1:19.51,1,9.86,1:19.43
6,9.58,1:29.42,7,9.57,1:29.53,1,9.37,1:28.96,4,9.49,1:29.19,5,9.77,,3,9.62,1:29.13,2,9.60,1:29.03
6,9.33,1:38.75,7,9.33,1:38.86,1,9.48,1:38.44,4,9.40,1:38.59,5,9.41,,3,9.41,1:38.54,2,9.49,1:38.52
1,9.13,1:47.88,4,9.13,1:47.99,1,9.44,1:47.88,5,9.46,1:48.05,6,9.47,,3,9.44,1:47.98,7,9.97,1:48.49
1,8.93,1:56.81,2,9.01,1:57.00,3,9.32,1:57.20,4,9.26,1:57.31,5,9.18,,6,9.42,1:57.40,7,9.68,1:58.17
1,9.19,2:06.00,2,9.19,2:06.19,3,9.41,2:06.61,6,9.78,2:07.09,4,9.37,,5,9.45,2:06.85,7,9.83,2:08.00
1,9.32,2:15.32,2,9.48,2:15.67,4,9.72,2:16.33,6,9.67,2:16.76,3,9.42,,5,9.51,2:16.36,7,10.04,2:18.04
1,9.68,2:25.00,2,9.84,2:25.51,5,9.96,2:26.29,6,9.81,2:26.57,3,9.63,,4,9.55,2:25.91,6,10.46,2:28.509
