WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Daniela VLAEVA POSITION,Daniela VLAEVA LAP TIME,Daniela VLAEVA ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,CHAN Suet Ying POSITION,CHAN Suet Ying LAP TIME,CHAN Suet Ying ELAPSED TIME
5,15.311,15.311,1,11.386,11.386,3,11.662,11.662,2,11.652,11.652,4,11.935,11.935
5,11.891,27.201,3,15.636,27.021,4,15.433,27.095,1,15.330,26.982,2,15.055,26.990
3,14.714,41.915,2,14.818,41.839,5,14.879,41.973,4,14.988,41.970,1,13.320,40.309
4,14.754,56.669,2,14.548,56.387,5,14.853,56.825,3,14.643,56.612,1,14.396,54.705
4,14.359,1:11.027,2,14.496,1:10.882,5,14.374,1:11.199,3,14.383,1:10.995,1,14.391,1:09.096
2,13.239,1:24.266,3,13.444,1:24.326,4,13.160,1:24.359,5,13.500,1:24.495,1,14.770,1:23.865
4,12.747,1:37.013,1,12.377,1:36.703,5,12.791,1:37.149,3,12.460,1:36.954,2,13.026,1:36.891
1,10.938,1:47.950,3,11.380,1:48.083,4,11.026,1:48.175,2,11.012,1:47.966,5,14.079,1:50.969
1,9.920,1:57.869,4,10.015,1:58.097,2,9.865,1:58.040,3,10.087,1:58.052,5,13.588,2:04.556
1,9.975,2:07.844,2,9.784,2:07.881,4,9.914,2:07.953,3,9.893,2:07.945,5,13.484,2:18.040
1,9.972,2:17.816,2,9.949,2:17.830,3,9.930,2:17.883,4,9.953,2:17.897,5,13.927,2:31.967
1,9.839,2:27.655,3,9.958,2:27.788,2,9.887,2:27.769,4,9.924,2:27.820,5,13.493,2:45.459
2,9.629,2:37.283,3,9.869,2:37.657,4,10.402,2:38.171,1,9.416,2:37.236,5,14.390,2:59.848
2,10.08,2:47.358,3,10.49,2:48.146,4,21.96,3:00.125,1,9.80,2:47.035,5,14.76,3:14.599
