SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
4,9.29,9.29,3,9.16,9.16,2,9.12,9.12,6,9.59,9.59,5,9.41,9.41,1,8.81,8.81
4,12.83,22.12,3,12.85,22.01,2,12.78,21.90,6,12.76,22.35,5,12.83,22.24,1,12.80,21.61
5,13.46,35.58,3,13.41,35.42,2,13.42,35.32,4,13.12,35.47,6,13.46,35.70,1,13.40,35.01
6,12.02,47.60,3,11.97,47.39,4,12.12,47.44,1,11.73,47.20,5,11.80,47.50,2,12.30,47.31
6,11.45,59.05,3,11.18,58.57,4,11.34,58.78,2,11.21,58.41,5,11.42,58.92,1,11.02,58.33
6,11.34,1:10.39,1,11.33,1:09.90,4,11.26,1:10.04,2,11.53,1:09.94,5,11.30,1:10.22,3,11.62,1:09.95
6,10.38,1:20.77,2,10.47,1:20.37,1,10.18,1:20.22,3,10.51,1:20.45,5,10.46,1:20.68,4,10.63,1:20.58
6,10.69,1:31.46,2,10.67,1:31.04,1,10.77,1:30.99,3,10.70,1:31.15,5,10.69,1:31.37,4,10.70,1:31.28
6,10.73,1:42.19,1,10.60,1:41.64,2,10.66,1:41.65,3,10.67,1:41.82,5,10.74,1:42.11,4,10.70,1:41.98
6,9.98,1:52.17,1,10.13,1:51.77,2,10.20,1:51.85,3,10.11,1:51.93,5,9.99,1:52.10,4,10.05,1:52.03
5,10.34,2:02.51,2,10.33,2:02.10,1,10.23,2:02.08,3,10.34,2:02.27,6,10.44,2:02.54,4,10.41,2:02.44
3,9.61,2:12.12,2,10.02,2:12.12,1,9.96,2:12.04,4,10.09,2:12.36,6,10.14,2:12.68,5,10.17,2:12.61
1,9.65,2:21.77,3,9.93,2:22.05,2,9.74,2:21.78,5,10.21,2:22.57,4,9.82,2:22.50,6,10.00,2:22.61
1,9.84,2:31.606,4,10.02,2:32.066,2,10.01,2:31.786,6,11.00,2:33.565,3,9.55,2:32.050,5,10.36,2:32.963
