Benjamin STUTHRIDGE POSITION,Benjamin STUTHRIDGE LAP TIME,Benjamin STUTHRIDGE ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
1,8.31,8.31,3,8.39,8.39,4,8.59,8.59,2,8.38,8.38,5,8.59,8.59
4,12.29,20.60,2,12.05,20.44,5,12.06,20.65,3,12.12,20.50,1,11.49,20.08
3,11.03,31.63,2,11.13,31.57,5,11.12,31.77,4,11.19,31.69,1,11.21,31.29
4,11.76,43.39,2,11.68,43.25,5,11.69,43.46,3,11.63,43.32,1,11.78,43.07
2,11.05,54.44,4,11.38,54.63,3,11.09,54.55,1,11.11,54.43,5,11.73,54.80
4,10.41,1:04.85,5,10.33,1:04.96,3,10.27,1:04.82,2,10.26,1:04.69,1,9.70,1:04.50
4,10.22,1:15.07,1,9.83,1:14.79,5,10.32,1:15.14,3,10.31,1:15.00,2,10.35,1:14.85
5,10.20,1:25.27,1,9.55,1:24.34,3,9.37,1:24.51,4,9.53,1:24.53,2,9.52,1:24.37
5,10.35,1:35.62,1,9.66,1:34.00,4,9.75,1:34.26,3,9.67,1:34.20,2,9.64,1:34.01
5,10.90,1:46.52,2,9.61,1:43.61,4,9.58,1:43.84,3,9.48,1:43.68,1,9.51,1:43.52
5,11.67,1:58.19,2,9.07,1:52.68,4,9.10,1:52.94,3,9.23,1:52.91,1,9.07,1:52.59
5,11.88,2:10.07,1,9.08,2:01.76,4,9.42,2:02.36,3,9.09,2:02.00,2,9.17,2:01.76
5,13.20,2:23.27,2,9.24,2:11.00,4,9.58,2:11.94,3,9.31,2:11.31,1,9.20,2:10.96
5,12.66,2:35.922,1,9.41,2:20.405,4,10.26,2:22.198,3,10.02,2:21.329,2,9.68,2:20.636
