Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,7.12,7.12,4,7.45,7.45,2,7.21,7.21,3,7.31,7.31,5,7.47,7.47
1,9.38,16.50,5,9.55,17.00,2,9.39,16.60,3,9.41,16.72,4,9.36,16.83
1,8.80,25.30,5,20.76,37.76,2,8.79,25.39,3,8.75,25.47,4,8.66,25.49
1,8.85,34.15,5,13.96,51.72,3,8.91,34.30,4,9.01,34.48,2,8.70,34.19
2,9.01,43.155,5,12.87,1:04.584,3,8.93,43.226,4,8.96,43.440,1,8.75,42.939
