Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,13.28,13.28,3,13.49,13.49,4,13.53,13.53,2,13.39,13.39
3,10.15,23.43,4,10.07,23.56,2,9.81,23.34,1,9.88,23.27
4,9.71,33.14,2,9.35,32.91,3,9.70,33.04,1,9.59,32.86
3,9.10,42.24,1,9.04,41.95,4,9.21,42.25,2,9.27,42.13
2,8.86,51.10,1,9.08,51.03,4,9.12,51.37,3,9.00,51.13
3,9.21,1:00.31,1,8.96,59.99,4,9.12,1:00.49,2,9.07,1:00.20
3,8.96,1:09.27,1,9.02,1:09.01,4,9.00,1:09.49,2,8.98,1:09.18
2,8.85,1:18.12,1,9.00,1:18.01,4,9.18,1:18.67,3,9.10,1:18.28
2,9.08,1:27.194,1,9.14,1:27.151,4,9.54,1:28.204,3,9.48,1:27.760
