Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Annie PERREAULT POSITION,Annie PERREAULT LAP TIME,Annie PERREAULT ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME
1,7.134,7.134,4,7.390,7.390,3,7.196,7.196,2,7.165,7.165
4,10.546,17.680,3,9.858,17.248,1,9.714,16.909,2,9.835,17.000
4,9.290,26.969,3,9.283,26.530,2,9.442,26.351,1,9.335,26.334
4,10.635,37.604,3,9.489,36.019,2,9.369,35.720,1,9.263,35.597
4,9.46,47.062,3,9.56,45.573,2,9.80,45.511,1,9.61,45.203
