John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
5,9.80,9.80,6,10.07,10.07,1,9.20,9.20,4,9.41,9.41,2,9.25,9.25,3,9.37,9.37,7,10.22,10.22
5,12.54,22.34,6,12.40,22.47,3,12.83,22.03,4,12.73,22.14,1,12.56,21.81,2,12.47,21.84,7,12.32,22.54
6,11.73,34.07,7,11.75,34.22,1,11.64,33.67,4,11.58,33.72,5,12.03,33.84,2,11.86,33.70,2,11.16,33.70
6,10.18,44.25,7,10.17,44.39,2,10.11,43.78,4,10.25,43.97,5,10.29,44.13,3,10.17,43.87,1,9.93,43.63
6,9.89,54.14,7,9.97,54.36,2,9.99,53.77,4,9.99,53.96,5,10.00,54.13,3,10.00,53.87,1,10.04,53.67
3,9.33,1:03.47,7,9.55,1:03.91,1,9.58,1:03.35,5,9.67,1:03.63,6,9.58,1:03.71,4,9.64,1:03.51,2,9.69,1:03.36
3,9.26,1:12.73,7,9.17,1:13.08,1,9.18,1:12.53,4,9.20,1:12.83,6,9.18,1:12.89,5,9.33,1:12.84,2,9.22,1:12.58
4,9.32,1:22.05,7,9.28,1:22.36,2,9.31,1:21.84,1,8.92,1:21.75,6,9.38,1:22.27,5,9.32,1:22.16,3,9.35,1:21.93
4,9.20,1:31.25,6,8.97,1:31.33,2,9.29,1:31.13,1,9.22,1:30.97,5,9.05,1:31.32,7,9.28,1:31.44,2,9.20,1:31.13
3,9.22,1:40.47,6,9.29,1:40.62,2,9.24,1:40.37,1,9.27,1:40.24,4,9.21,1:40.53,7,9.19,1:40.63,5,9.41,1:40.54
3,9.17,1:49.64,4,9.05,1:49.67,2,9.18,1:49.55,1,9.27,1:49.51,5,9.27,1:49.80,6,9.29,1:49.92,7,9.48,1:50.02
7,10.98,2:00.62,3,9.05,1:58.72,2,9.08,1:58.63,1,8.95,1:58.46,4,9.09,1:58.89,5,9.05,1:58.97,6,9.16,1:59.18
7,10.89,2:11.51,2,8.95,2:07.67,3,9.05,2:07.68,1,9.09,2:07.55,4,8.93,2:07.82,5,9.02,2:07.99,6,9.55,2:08.73
7,14.07,2:25.587,2,9.15,2:16.82,5,9.59,2:17.270,1,9.17,2:16.72,4,9.23,2:17.05,3,9.00,2:16.99,6,10.76,2:19.493
