DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Marta PASKEVICA POSITION,Marta PASKEVICA LAP TIME,Marta PASKEVICA ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
2,8.73,8.73,5,9.40,9.40,6,9.55,9.55,4,9.23,9.23,3,8.92,8.92,1,8.43,8.43,7,9.72,9.72
2,10.76,19.49,5,10.51,19.91,6,10.47,20.02,4,10.57,19.80,3,10.77,19.69,1,10.87,19.30,7,10.47,20.19
2,10.63,30.12,5,10.48,30.39,6,10.44,30.46,4,10.51,30.31,3,10.51,30.20,1,10.70,30.00,7,10.40,30.59
2,10.83,40.95,5,10.86,41.25,6,10.93,41.39,4,10.87,41.18,3,10.84,41.04,1,10.84,40.84,7,10.95,41.54
2,11.17,52.12,6,11.26,52.51,5,11.02,52.41,4,11.13,52.31,3,11.17,52.21,1,11.17,52.01,7,11.09,52.63
2,11.31,1:03.43,6,11.28,1:03.79,5,11.23,1:03.64,3,11.19,1:03.50,4,11.34,1:03.55,1,11.31,1:03.32,7,11.31,1:03.94
1,10.67,1:14.10,6,10.89,1:14.68,4,10.74,1:14.38,3,10.76,1:14.26,5,10.97,1:14.52,2,10.82,1:14.14,7,10.83,1:14.77
1,10.41,1:24.51,7,10.47,1:25.15,3,10.32,1:24.70,2,10.38,1:24.64,5,10.36,1:24.88,4,10.62,1:24.76,6,10.19,1:24.96
1,10.58,1:35.09,7,10.60,1:35.75,3,10.59,1:35.29,2,10.56,1:35.20,5,10.65,1:35.53,4,10.64,1:35.40,6,10.67,1:35.63
1,10.57,1:45.66,7,10.73,1:46.48,3,10.56,1:45.85,2,10.56,1:45.76,6,10.55,1:46.08,4,10.57,1:45.97,5,10.45,1:46.08
1,10.33,1:55.99,7,11.10,1:57.58,2,10.34,1:56.19,3,10.44,1:56.20,6,10.47,1:56.55,5,10.38,1:56.35,4,10.24,1:56.32
2,10.23,2:06.22,7,11.90,2:09.48,3,10.09,2:06.28,5,10.58,2:06.78,6,10.48,2:07.03,4,10.32,2:06.67,1,9.78,2:06.10
2,10.11,2:16.33,7,12.37,2:21.85,3,10.10,2:16.38,4,10.50,2:17.28,6,10.79,2:17.82,5,10.66,2:17.33,1,10.12,2:16.22
2,10.41,2:26.740,7,12.54,2:34.390,3,10.55,2:26.923,4,10.46,2:27.737,6,11.11,2:28.922,5,11.09,2:28.419,1,10.42,2:26.636
