Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
2,12.82,12.82,3,12.94,12.94,5,13.22,13.22,1,12.77,12.77,4,13.07,
2,9.48,22.30,4,9.59,22.53,5,9.41,22.63,1,9.45,22.22,3,9.32,
1,9.20,31.50,2,9.18,31.71,3,9.24,31.87,4,9.96,32.18,5,9.85,
1,9.45,40.95,2,9.37,41.08,3,9.32,41.19,5,9.29,41.47,4,8.99,
1,9.26,50.21,2,9.24,50.32,4,9.48,50.67,5,9.33,50.80,3,9.32,
1,9.08,59.29,2,9.01,59.33,4,8.97,59.64,5,9.16,59.96,3,9.00,
1,9.13,1:08.42,3,9.18,1:08.51,2,8.83,1:08.47,5,9.19,1:09.15,4,9.09,
2,8.93,1:17.35,3,8.96,1:17.47,1,8.66,1:17.13,5,9.55,1:18.70,4,8.94,
2,9.06,1:26.41,3,9.05,1:26.52,1,9.04,1:26.17,5,10.11,1:28.81,4,9.18,
