Alison DESMARAIS POSITION,Alison DESMARAIS LAP TIME,Alison DESMARAIS ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,12.92,,5,13.37,13.37,2,13.03,13.03,3,13.22,13.22,4,13.32,13.32
1,9.87,,5,9.85,23.22,2,9.85,22.88,3,9.77,22.99,4,9.77,23.09
2,9.72,,5,9.65,32.87,1,9.57,32.45,3,9.63,32.62,4,9.69,32.78
2,9.68,,4,9.51,42.38,1,9.70,42.15,3,9.67,42.29,5,9.70,42.48
2,9.76,,4,9.75,52.13,2,9.80,51.95,1,9.63,51.92,5,9.78,52.26
3,9.73,,4,9.71,1:01.84,2,9.63,1:01.58,1,9.57,1:01.49,5,9.64,1:01.90
3,9.53,,4,9.53,1:11.37,2,9.55,1:11.13,1,9.51,1:11.00,5,9.63,1:11.53
3,9.58,,4,9.50,1:20.87,2,9.55,1:20.68,1,9.57,1:20.57,5,9.64,1:21.17
3,9.71,,4,9.81,1:30.68,2,9.73,1:30.41,1,9.74,1:30.31,5,10.11,1:31.28
