Dmitriy DOKOLIN POSITION,Dmitriy DOKOLIN LAP TIME,Dmitriy DOKOLIN ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
3,13.40,13.40,2,13.38,13.38,4,13.49,13.49,1,13.29,13.29
3,10.65,24.05,1,10.16,23.54,4,10.89,24.38,2,10.42,23.71
3,9.51,33.56,2,9.98,33.52,4,9.58,33.96,1,9.44,33.15
2,9.45,43.01,4,9.97,43.49,3,9.35,43.31,1,9.72,42.87
1,8.84,51.85,3,8.52,52.01,4,9.21,52.52,2,9.14,52.01
1,9.12,1:00.97,4,9.64,1:01.65,2,8.81,1:01.33,3,9.39,1:01.40
4,29.53,1:30.50,2,8.15,1:09.80,3,9.08,1:10.41,1,8.18,1:09.58
4,15.11,1:45.61,2,9.13,1:18.93,3,8.99,1:19.40,1,9.13,1:18.71
4,14.58,2:00.185,2,9.27,1:28.192,3,9.17,1:28.562,1,9.42,1:28.125
