LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME
1,6.555,6.555,2,6.787,6.787,3,6.896,6.896,4,7.100,7.100
2,9.427,15.981,3,9.412,16.199,1,9.052,15.948,4,9.168,16.268
2,8.935,24.916,3,8.908,25.106,1,8.902,24.850,4,8.935,25.202
2,9.057,33.972,4,9.142,34.248,1,8.986,33.836,3,8.966,34.168
4,36.36,1:10.330,2,9.10,43.346,1,9.36,43.190,3,9.24,43.402
