BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
3,12.41,12.41,2,12.33,12.33,1,12.19,12.19,4,12.51,12.51
3,9.56,21.97,1,9.48,21.81,2,9.69,21.88,4,9.60,22.11
3,9.72,31.69,2,9.80,31.61,1,9.66,31.54,4,9.60,31.71
2,9.22,40.91,3,9.41,41.02,1,9.30,40.84,4,9.42,41.13
3,9.26,50.17,2,9.08,50.10,1,9.19,50.03,4,9.12,50.25
3,9.38,59.55,2,9.33,59.43,1,9.30,59.33,4,9.44,59.69
3,9.31,1:08.86,2,9.27,1:08.70,1,9.29,1:08.62,4,9.28,1:08.97
3,9.08,1:17.94,1,9.03,1:17.73,2,9.12,1:17.74,4,9.14,1:18.11
3,9.30,1:27.239,2,9.11,1:26.838,1,9.08,1:26.818,4,9.14,1:27.247
