Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
1,12.30,12.30,2,12.43,12.43,3,12.81,12.81,4,12.92,12.92
1,9.48,21.78,2,9.45,21.88,3,9.19,22.00,4,9.17,22.09
1,9.42,31.20,2,9.40,31.28,3,9.38,31.38,4,9.38,31.47
1,9.49,40.69,2,9.50,40.78,3,9.49,40.87,4,9.48,40.95
4,9.64,50.33,3,9.42,50.20,1,9.18,50.05,2,9.24,50.19
4,9.45,59.78,3,9.38,59.58,1,9.37,59.42,2,9.30,59.49
4,9.49,1:09.27,3,9.22,1:08.80,2,9.30,1:08.72,1,9.10,1:08.59
4,9.72,1:18.99,3,9.32,1:18.12,2,9.27,1:17.99,1,9.12,1:17.71
4,10.21,1:29.195,3,9.42,1:27.532,2,9.32,1:27.304,1,9.21,1:26.919
