HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,12.89,12.89,3,13.07,13.07,2,13.04,13.04,4,13.28,13.28,5,13.43,13.43
2,9.72,22.61,1,9.43,22.50,3,9.69,22.73,4,9.56,22.84,5,9.55,22.98
2,9.40,32.01,1,9.43,31.93,4,9.49,32.22,3,9.29,32.13,5,9.27,32.25
2,9.41,41.42,1,9.47,41.40,4,9.47,41.69,3,9.40,41.53,5,9.45,41.70
1,9.12,50.54,2,9.23,50.63,5,9.37,51.06,3,9.19,50.72,4,9.11,50.81
1,9.14,59.68,2,9.18,59.81,5,9.21,1:00.27,3,9.17,59.89,4,9.13,59.94
1,9.22,1:08.90,3,9.37,1:09.18,5,9.28,1:09.55,2,9.13,1:09.02,4,9.27,1:09.21
1,9.14,1:18.04,3,9.13,1:18.31,5,9.59,1:19.14,2,9.17,1:18.19,4,9.36,1:18.57
1,9.06,1:27.10,2,9.17,1:27.48,5,10.03,1:29.178,3,9.40,1:27.59,4,9.44,1:28.016
