PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,WANG Xiran POSITION,WANG Xiran LAP TIME,WANG Xiran ELAPSED TIME
2,12.85,12.85,1,12.77,12.77,3,12.93,12.93,4,13.06,13.06,5,13.22,
2,9.78,22.63,1,9.73,22.50,3,9.79,22.72,4,9.75,22.81,5,9.73,
2,9.44,32.07,1,9.49,31.99,3,9.45,32.17,4,9.49,32.30,5,9.45,
2,9.36,41.43,1,9.37,41.36,3,9.35,41.52,4,9.33,41.63,5,9.35,
1,9.14,50.57,1,9.21,50.57,3,9.22,50.74,4,9.26,50.89,5,9.20,
1,9.11,59.68,2,9.23,59.80,3,9.15,59.89,4,9.52,1:00.41,5,9.98,
1,9.33,1:09.01,2,9.35,1:09.15,3,9.37,1:09.26,4,9.29,1:09.70,5,10.38,
1,9.42,1:18.43,2,9.44,1:18.59,3,9.49,1:18.75,4,9.55,1:19.25,5,10.69,
1,9.67,1:28.10,2,9.62,1:28.21,3,9.59,1:28.349,4,10.08,1:29.334,5,10.91,
