GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
2,13.42,13.42,3,13.52,,5,13.62,13.62,1,13.28,13.28,4,13.57,13.57
2,10.19,23.61,5,21.54,,3,10.10,23.72,4,10.64,23.92,1,9.71,23.28
2,9.67,33.28,5,17.84,,3,9.66,33.38,4,9.62,33.54,1,9.86,33.14
1,9.75,43.03,5,9.70,,3,9.76,43.14,4,9.73,43.27,1,9.89,43.03
1,9.42,52.45,5,9.58,,3,9.59,52.73,4,9.57,52.84,2,9.63,52.66
1,9.56,1:02.01,5,10.25,,3,9.56,1:02.29,4,9.54,1:02.38,2,9.52,1:02.18
1,9.71,1:11.72,5,10.84,,4,9.80,1:12.09,2,9.54,1:11.92,3,9.83,1:12.01
2,9.71,1:21.43,5,11.00,,3,9.80,1:21.89,1,9.32,1:21.24,4,10.26,1:22.27
2,9.79,1:31.22,5,11.26,,3,9.69,1:31.58,1,9.69,1:30.93,4,10.87,1:33.14
