KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
2,13.05,13.05,4,13.25,13.25,1,12.95,12.95,3,13.15,13.15
2,10.70,23.75,4,10.70,23.95,1,10.65,23.60,3,10.69,23.84
2,10.29,34.04,4,10.29,34.24,1,10.32,33.92,3,10.31,34.15
2,9.86,43.90,3,9.68,43.92,1,9.88,43.80,4,9.82,43.97
2,9.25,53.15,4,9.52,53.44,1,9.31,53.11,3,9.35,53.32
1,8.89,1:02.04,4,9.13,1:02.57,3,9.23,1:02.34,2,8.85,1:02.17
1,8.67,1:10.71,4,9.11,1:11.68,3,8.94,1:11.28,2,8.62,1:10.79
1,8.83,1:19.54,4,9.46,1:21.14,3,8.76,1:20.04,2,8.82,1:19.61
2,9.23,1:28.766,4,11.05,1:32.181,3,8.91,1:28.944,1,9.07,1:28.677
