Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,12.811,12.811,2,12.984,12.984,3,13.255,13.255,4,13.392,13.392
2,10.075,22.886,1,9.896,22.880,3,9.816,23.070,4,9.972,23.364
2,9.534,32.420,1,9.349,32.229,3,9.382,32.452,4,9.437,32.801
3,9.324,41.744,1,9.315,41.544,2,9.220,41.672,4,9.288,42.088
3,9.784,51.528,1,9.714,51.257,2,9.662,51.333,4,9.651,51.739
3,9.461,1:00.989,1,9.525,1:00.782,2,9.502,1:00.835,4,9.548,1:01.287
3,9.382,1:10.371,1,9.459,1:10.241,2,9.436,1:10.271,4,9.370,1:10.657
2,9.233,1:19.604,1,9.340,1:19.581,3,9.334,1:19.605,4,9.274,1:19.931
1,9.214,1:28.818,2,9.314,1:28.895,3,9.479,1:29.084,4,9.443,1:29.374
