ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME
2,11.98,11.98,1,11.82,11.82,3,12.16,12.16,4,12.27,12.27
2,10.16,22.14,1,10.17,21.99,3,10.07,22.23,4,10.08,22.35
2,11.19,33.33,1,11.22,33.21,3,11.21,33.44,4,11.21,33.56
2,10.02,43.35,1,10.04,43.25,3,10.00,43.44,4,9.99,43.55
2,10.04,53.39,1,10.04,53.29,3,10.06,53.50,4,10.04,53.59
1,9.75,1:03.14,2,9.96,1:03.25,3,9.83,1:03.33,4,9.86,1:03.45
1,9.47,1:12.61,2,9.46,1:12.71,3,9.61,1:12.94,4,9.60,1:13.05
1,9.57,1:22.18,2,9.57,1:22.28,4,10.04,1:22.98,3,9.62,1:22.67
1,9.89,1:32.070,2,9.94,1:32.216,4,10.63,1:33.610,3,9.88,1:32.545
