Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
1,14.423,14.423,2,14.560,14.560,4,14.689,14.689,3,14.686,14.686,5,14.828,14.828
2,11.336,25.758,1,11.114,25.673,3,11.148,25.837,4,11.178,25.864,5,11.181,26.008
4,10.318,36.076,3,10.296,35.969,2,10.016,35.852,1,9.889,35.752,5,10.163,36.171
4,10.147,46.223,3,10.159,46.128,2,10.142,45.994,1,10.139,45.891,5,10.107,46.278
5,10.028,56.250,3,9.792,55.920,2,9.800,55.793,1,9.787,55.677,4,9.687,55.964
5,9.771,1:06.020,3,9.642,1:05.561,2,9.627,1:05.419,1,9.570,1:05.247,4,9.622,1:05.585
5,9.473,1:15.493,3,9.445,1:15.005,2,9.440,1:14.859,1,9.455,1:14.702,4,9.612,1:15.197
5,9.671,1:25.164,3,9.504,1:24.509,2,9.557,1:24.415,1,9.580,1:24.282,4,9.780,1:24.977
5,10.62,1:35.782,3,9.82,1:34.324,2,9.84,1:34.255,1,9.95,1:34.223,4,10.50,1:35.470
