April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
3,9.84,9.84,4,9.93,9.93,5,10.09,10.09,1,9.64,9.64,2,9.73,9.73
3,14.50,24.34,4,14.57,24.50,5,14.56,24.65,1,14.34,23.98,2,14.46,24.19
4,13.17,37.51,1,12.59,37.09,2,12.55,37.20,3,13.41,37.39,5,13.55,37.74
4,11.78,49.29,1,11.97,49.06,3,11.97,49.17,2,11.69,49.08,5,11.59,49.33
5,11.05,1:00.34,3,11.04,1:00.10,4,11.06,1:00.23,1,10.90,59.98,2,10.66,59.99
5,10.66,1:11.00,1,10.51,1:10.61,3,10.60,1:10.83,2,10.73,1:10.71,4,10.87,1:10.86
5,10.45,1:21.45,2,10.53,1:21.14,3,10.41,1:21.24,1,10.33,1:21.04,4,10.50,1:21.36
4,10.42,1:31.87,2,10.52,1:31.66,3,10.52,1:31.76,1,10.51,1:31.55,5,10.62,1:31.98
4,10.46,1:42.33,2,10.43,1:42.09,3,10.44,1:42.20,1,10.42,1:41.97,5,10.37,1:42.35
5,10.23,1:52.56,2,10.22,1:52.31,3,10.22,1:52.42,1,10.22,1:52.19,4,10.19,1:52.54
5,10.71,2:03.27,2,9.87,2:02.18,3,9.88,2:02.30,1,9.84,2:02.03,4,9.88,2:02.42
5,12.31,2:15.58,3,9.64,2:11.82,2,9.51,2:11.81,1,9.53,2:11.56,4,9.62,2:12.04
5,13.39,2:28.97,3,10.04,2:21.86,2,9.64,2:21.45,1,9.48,2:21.04,3,9.82,2:21.86
5,13.63,2:42.60,4,10.39,2:32.25,2,9.76,2:31.21,1,9.68,2:30.72,3,10.11,2:31.97
