TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME
6,10.55,10.55,3,10.19,10.19,4,10.22,10.22,1,10.05,10.05,5,10.30,10.30,2,10.07,10.07
6,14.71,25.26,5,14.91,25.10,2,14.61,24.83,3,14.79,24.84,4,14.64,24.94,1,14.54,24.61
6,12.68,37.94,5,12.62,37.72,3,12.62,37.45,1,12.47,37.31,4,12.60,37.54,2,12.78,37.39
1,11.23,49.17,6,12.35,50.07,4,12.36,49.81,2,12.32,49.63,5,12.39,49.93,3,12.32,49.71
1,11.35,1:00.52,6,10.95,1:01.02,4,11.08,1:00.89,2,11.08,1:00.71,5,10.98,1:00.91,3,11.12,1:00.83
1,11.21,1:11.73,6,11.21,1:12.23,5,11.26,1:12.15,4,11.35,1:12.06,2,10.96,1:11.87,3,11.15,1:11.98
1,11.02,1:22.75,5,10.88,1:23.11,6,11.04,1:23.19,4,10.87,1:22.93,3,10.96,1:22.83,2,10.80,1:22.78
1,10.59,1:33.34,6,10.88,1:33.99,5,10.70,1:33.89,3,10.58,1:33.51,4,10.83,1:33.66,2,10.62,1:33.40
2,10.47,1:43.81,6,10.49,1:44.48,5,10.50,1:44.39,3,10.50,1:44.01,4,10.52,1:44.18,1,10.39,1:43.79
2,9.82,1:53.63,6,10.40,1:54.88,5,10.46,1:54.85,3,9.75,1:53.76,4,10.04,1:54.22,1,9.73,1:53.52
2,9.68,2:03.31,5,10.64,2:05.52,6,11.08,2:05.93,3,9.58,2:03.34,4,10.28,2:04.50,1,9.76,2:03.28
1,9.60,2:12.91,5,11.14,2:16.66,6,11.41,2:17.34,2,9.74,2:13.08,4,10.74,2:15.24,3,9.89,2:13.17
1,9.57,2:22.48,5,11.86,2:28.52,6,11.35,2:28.69,2,9.50,2:22.58,4,11.32,2:26.56,3,10.02,2:23.19
1,9.97,2:32.441,5,26.79,2:55.310,0,,PEN,2,10.09,2:32.663,4,11.83,2:38.384,3,10.41,2:33.595
