BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,13.44,13.44,2,13.57,13.57,3,13.59,13.59,4,13.76,13.76
1,10.51,23.95,3,10.63,24.20,2,10.51,24.10,4,10.57,24.34
2,10.25,34.20,1,9.89,34.09,4,10.11,34.22,3,9.85,34.20
4,9.76,43.96,3,9.55,43.65,2,9.38,43.60,1,9.17,43.37
4,9.49,53.46,3,9.53,53.18,1,9.29,52.89,2,9.56,52.94
4,9.40,1:02.86,3,9.54,1:02.73,1,9.46,1:02.35,2,9.55,1:02.49
4,9.53,1:12.39,3,9.36,1:12.09,2,9.57,1:11.93,1,9.38,1:11.88
4,9.91,1:22.31,3,9.38,1:21.48,2,9.18,1:21.12,1,9.22,1:21.10
4,10.33,1:32.638,3,9.73,1:31.207,2,9.57,1:30.690,1,9.55,1:30.642
