SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
2,17.64,17.64,5,17.90,17.90,4,17.84,17.84,3,17.73,17.73,1,17.51,17.51
2,13.47,31.11,5,13.62,31.52,4,13.58,31.42,3,13.58,31.31,1,13.48,30.99
2,12.72,43.83,5,12.69,44.21,4,12.67,44.09,3,12.67,43.98,1,12.66,43.65
2,11.60,55.43,5,11.55,55.76,4,11.60,55.69,3,11.59,55.57,1,11.66,55.31
1,10.42,1:05.85,5,10.73,1:06.49,4,10.66,1:06.35,3,10.63,1:06.20,2,10.75,1:06.06
1,9.74,1:15.59,5,9.62,1:16.11,4,9.63,1:15.98,3,9.65,1:15.85,2,9.66,1:15.72
1,9.31,1:24.90,5,9.51,1:25.62,4,9.41,1:25.39,2,9.22,1:25.07,3,9.50,1:25.22
1,9.00,1:33.90,5,9.65,1:35.27,4,9.51,1:34.90,2,8.94,1:34.01,3,9.52,1:34.74
1,8.96,1:42.86,5,9.96,1:45.23,4,9.91,1:44.81,2,9.00,1:43.01,3,9.98,1:44.72
