Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
3,14.69,14.69,1,14.48,14.48,2,14.50,14.50
3,10.91,25.60,1,10.90,25.38,2,11.01,25.51
3,11.01,36.61,1,11.00,36.38,2,10.98,36.49
3,11.04,47.65,1,11.05,47.43,2,11.04,47.53
3,10.54,58.19,1,10.57,58.00,2,10.57,58.10
3,10.12,1:08.31,1,10.10,1:08.10,2,10.11,1:08.21
1,9.78,1:18.09,2,10.04,1:18.14,3,10.03,1:18.24
1,9.72,1:27.81,2,10.06,1:28.20,3,10.10,1:28.34
1,9.70,1:37.510,2,9.96,1:38.154,3,9.99,1:38.325
