Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,14.29,14.29,3,14.57,14.57,5,14.69,14.69,2,14.41,14.41,4,14.59,14.59
1,11.51,25.80,3,11.31,25.88,5,11.44,26.13,2,11.45,25.86,4,11.39,25.98
2,10.83,36.63,1,10.59,36.47,5,10.82,36.95,4,10.88,36.74,3,10.73,36.71
2,10.13,46.76,3,10.50,46.97,5,10.19,47.14,4,10.34,47.08,1,9.94,46.65
2,9.79,56.55,3,9.70,56.67,5,9.73,56.87,4,9.67,56.75,1,9.75,56.40
2,9.29,1:05.84,3,9.33,1:06.00,5,9.37,1:06.24,4,9.42,1:06.17,1,9.35,1:05.75
2,9.08,1:14.92,3,9.12,1:15.12,4,9.20,1:15.44,5,9.31,1:15.48,1,9.08,1:14.83
2,8.97,1:23.89,3,9.17,1:24.29,4,9.25,1:24.69,5,9.41,1:24.89,1,8.96,1:23.79
1,8.75,1:32.64,3,9.37,1:33.664,4,9.20,1:33.895,5,9.61,1:34.509,2,8.97,1:32.76
