Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,9.73,9.73,2,9.96,9.96,5,10.51,10.51,6,10.55,10.55,4,10.50,10.50,3,10.16,10.16
2,12.89,22.62,3,12.80,22.76,6,12.52,23.03,5,12.44,22.99,1,12.03,22.53,4,12.73,22.89
3,12.21,34.83,4,12.24,35.00,6,12.14,35.17,1,11.79,34.78,2,12.26,34.79,5,12.19,35.08
2,11.98,46.81,4,12.09,47.09,6,12.19,47.36,1,11.96,46.74,3,12.05,46.84,5,12.15,47.23
2,11.67,58.48,4,11.66,58.75,6,11.67,59.03,1,11.60,58.34,3,11.74,58.58,5,11.64,58.87
5,11.22,1:09.70,4,10.90,1:09.65,6,10.95,1:09.98,2,11.16,1:09.50,3,11.03,1:09.61,1,10.57,1:09.44
5,10.24,1:19.94,2,9.99,1:19.64,6,10.11,1:20.09,3,10.22,1:19.72,4,10.21,1:19.82,1,10.11,1:19.55
4,10.43,1:30.37,2,10.42,1:30.06,5,10.40,1:30.49,3,10.41,1:30.13,6,10.79,1:30.61,1,10.39,1:29.94
4,9.89,1:40.26,2,10.01,1:40.07,5,9.88,1:40.37,3,10.03,1:40.16,6,9.83,1:40.44,1,10.01,1:39.95
4,9.74,1:50.00,1,9.60,1:49.67,5,9.80,1:50.17,3,9.75,1:49.91,6,9.82,1:50.26,2,9.84,1:49.79
4,9.30,1:59.30,1,9.32,1:58.99,5,9.20,1:59.37,3,9.26,1:59.17,6,9.13,1:59.39,2,9.31,1:59.10
6,9.67,2:08.97,1,8.97,2:07.96,5,9.45,2:08.82,3,8.99,2:08.16,4,9.25,2:08.64,2,8.93,2:08.03
5,9.45,2:18.42,1,8.78,2:16.74,4,9.48,2:18.30,3,8.88,2:17.04,6,22.75,2:31.39,2,8.78,2:16.81
4,9.62,2:28.037,1,9.03,2:25.764,5,9.79,2:28.086,3,9.62,2:26.657,0,,PEN,2,9.09,2:25.892
