Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
1,12.71,12.71,3,12.85,12.85,2,12.83,12.83,4,13.07,13.07
1,9.76,22.47,4,10.61,23.46,2,9.73,22.56,3,9.59,22.66
1,9.84,32.31,4,9.56,33.02,2,9.82,32.38,3,9.81,32.47
2,9.75,42.06,4,9.68,42.70,1,9.65,42.03,3,9.71,42.18
2,9.73,51.79,4,9.54,52.24,1,9.68,51.71,3,9.70,51.88
2,9.92,1:01.71,4,9.72,1:01.96,1,9.91,1:01.62,3,9.91,1:01.79
2,10.01,1:11.72,4,9.96,1:11.92,1,10.02,1:11.64,3,9.96,1:11.75
2,10.03,1:21.75,3,9.91,1:21.83,1,10.01,1:21.65,4,10.09,1:21.84
2,11.01,1:32.757,0,,PEN,1,10.21,1:31.852,0,,PEN
