NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME
3,7.73,7.73,1,7.22,7.22,2,7.31,7.31,4,7.80,7.80,5,8.12,8.12
3,9.55,17.28,1,9.27,16.49,2,9.27,16.58,4,9.54,17.34,5,9.62,17.74
3,9.03,26.31,2,8.85,25.34,1,8.71,25.29,4,9.14,26.48,5,9.20,26.94
3,9.16,35.47,2,8.89,34.23,1,8.81,34.10,4,9.09,35.57,5,9.40,36.34
0,,PHOTO,2,9.02,43.25,1,9.07,43.17,0,,PHOTO,5,9.70,46.04
