Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
2,13.28,13.28,4,13.43,13.43,3,13.36,13.36,1,13.24,13.24
4,10.16,23.45,2,9.96,23.39,3,10.04,23.40,1,10.10,23.35
4,10.07,33.52,3,10.05,33.44,2,10.01,33.41,1,10.01,33.36
2,9.62,43.14,1,9.60,43.05,4,9.76,43.18,3,9.80,43.17
4,9.89,53.04,3,9.99,53.04,2,9.72,52.90,1,9.64,52.81
4,9.92,1:02.97,3,9.87,1:02.91,1,9.88,1:02.79,2,9.98,1:02.80
4,10.12,1:13.09,3,10.04,1:12.96,2,10.15,1:12.94,1,10.07,1:12.88
4,10.09,1:23.18,3,10.19,1:23.15,1,10.15,1:23.09,2,10.27,1:23.15
3,10.31,1:33.485,4,10.56,1:33.701,2,10.37,1:33.451,1,10.22,1:33.362
