Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,13.28,13.28,2,13.35,13.35,3,13.54,13.54,4,13.67,13.67
2,11.16,24.44,1,11.09,24.44,3,11.08,24.62,4,11.08,24.75
3,10.17,34.61,1,9.93,34.37,2,9.89,34.51,4,9.92,34.67
4,9.23,43.84,2,9.19,43.56,3,9.06,43.57,1,8.80,43.47
4,8.89,52.73,3,9.06,52.62,2,8.98,52.55,1,8.96,52.43
4,9.10,1:01.83,3,9.09,1:01.71,1,9.01,1:01.56,2,9.15,1:01.58
4,9.18,1:11.01,3,9.17,1:10.88,1,9.13,1:10.69,2,9.19,1:10.77
4,9.13,1:20.14,3,9.15,1:20.03,1,9.10,1:19.79,2,9.11,1:19.88
3,9.17,1:29.307,2,9.10,1:29.122,1,9.22,1:29.006,4,16.45,1:36.326
