DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME
5,11.31,11.31,1,10.74,10.74,2,10.90,10.90,4,11.15,11.15,3,11.05,11.05
5,16.48,27.79,2,16.64,27.38,1,16.39,27.29,4,16.43,27.58,3,16.36,27.41
5,13.45,41.24,3,13.60,40.98,1,13.50,40.79,4,13.52,41.10,2,13.47,40.88
5,12.58,53.82,3,12.62,53.60,1,12.59,53.38,4,12.59,53.69,2,12.61,53.49
5,12.22,1:06.04,2,12.09,1:05.69,1,12.26,1:05.64,4,12.21,1:05.90,3,12.25,1:05.74
5,11.64,1:17.68,3,11.75,1:17.44,2,11.70,1:17.34,4,11.62,1:17.52,1,11.60,1:17.34
5,10.69,1:28.37,3,10.68,1:28.12,2,10.68,1:28.02,4,10.68,1:28.20,1,10.62,1:27.96
5,10.67,1:39.04,3,10.67,1:38.79,2,10.67,1:38.69,4,10.71,1:38.91,1,10.63,1:38.59
5,10.27,1:49.31,3,10.15,1:48.94,2,10.19,1:48.88,4,10.20,1:49.11,1,10.19,1:48.78
5,10.40,1:59.71,3,9.69,1:58.63,1,9.51,1:58.39,4,9.71,1:58.82,2,9.73,1:58.51
5,10.98,2:10.69,3,9.60,2:08.23,1,9.66,2:08.05,4,9.70,2:08.52,2,9.63,2:08.14
5,11.69,2:22.38,3,9.86,2:18.09,1,9.86,2:17.91,4,9.95,2:18.47,2,9.85,2:17.99
5,12.09,2:34.47,3,9.92,2:28.01,2,9.93,2:27.84,4,10.30,2:28.77,1,9.84,2:27.83
5,12.20,2:46.663,3,9.82,2:37.829,2,9.85,2:37.684,4,10.89,2:39.660,1,9.79,2:37.617
