Robert LAWRENCE POSITION,Robert LAWRENCE LAP TIME,Robert LAWRENCE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,9.34,9.34,1,9.21,9.21,3,9.48,9.48,4,9.61,9.61,5,9.77,9.77
2,15.51,24.85,1,15.40,24.61,3,15.56,25.04,4,15.57,25.18,5,15.51,25.28
2,14.71,39.56,1,14.85,39.46,3,14.68,39.72,4,14.71,39.89,5,14.74,40.02
2,13.81,53.37,1,13.75,53.21,3,13.77,53.49,4,13.62,53.51,5,13.56,53.58
2,13.37,1:06.74,1,13.38,1:06.59,3,13.38,1:06.87,4,13.45,1:06.96,5,13.46,1:07.04
1,11.83,1:18.57,2,12.06,1:18.65,5,12.02,1:18.89,4,11.82,1:18.78,3,11.70,1:18.74
1,10.25,1:28.82,2,10.27,1:28.92,5,10.39,1:29.28,3,10.26,1:29.04,4,10.41,1:29.15
2,10.06,1:38.88,3,10.06,1:38.98,5,9.90,1:39.18,1,9.76,1:38.80,4,9.90,1:39.05
3,9.98,1:48.86,1,9.62,1:48.60,5,9.90,1:49.08,2,9.97,1:48.77,4,9.90,1:48.95
4,9.66,1:58.52,1,9.81,1:58.41,5,9.58,1:58.66,2,9.71,1:58.48,3,9.56,1:58.51
4,9.54,2:08.06,2,9.47,2:07.88,5,9.52,2:08.18,3,9.50,2:07.98,1,9.12,2:07.63
4,8.88,2:16.94,2,8.91,2:16.79,5,8.88,2:17.06,3,8.89,2:16.87,1,9.08,2:16.71
4,9.10,2:26.04,1,8.96,2:25.75,5,9.15,2:26.21,3,9.13,2:26.00,2,9.25,2:25.96
2,9.06,2:35.094,1,9.15,2:34.898,4,9.21,2:35.420,3,9.24,2:35.237,5,9.87,2:35.822
