Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Rei TOYOFUKU POSITION,Rei TOYOFUKU LAP TIME,Rei TOYOFUKU ELAPSED TIME
1,14.76,14.76,3,15.43,15.43,4,15.78,15.78,7,16.17,16.17,6,16.05,16.05,2,14.98,14.98,5,15.91,15.91,8,16.28,16.28,10,16.68,16.68,9,16.51,16.51
1,10.08,24.84,3,10.43,25.86,5,10.36,26.14,7,10.33,26.50,6,10.35,26.40,2,10.31,25.29,4,10.22,26.13,8,10.33,26.61,10,10.18,26.86,9,10.26,26.77
1,9.32,34.16,3,10.06,35.92,5,10.22,36.36,7,10.08,36.58,6,10.11,36.51,2,10.20,35.49,4,9.82,35.95,8,10.06,36.67,10,10.05,36.91,9,10.06,36.83
1,9.40,43.56,4,10.40,46.32,5,10.10,46.46,7,10.10,46.68,6,10.09,46.60,2,10.60,46.09,3,10.22,46.17,8,10.10,46.77,10,10.16,47.07,9,10.13,46.96
1,9.51,53.07,2,11.22,57.54,4,11.25,57.71,8,11.29,57.97,7,11.29,57.89,3,11.54,57.63,6,11.63,57.80,5,11.02,57.79,10,11.15,58.22,9,11.20,58.16
1,9.73,1:02.80,3,11.15,1:08.69,6,11.33,1:09.04,8,11.29,1:09.26,7,11.27,1:09.16,4,11.15,1:08.78,5,11.12,1:08.92,2,10.82,1:08.61,10,11.26,1:09.48,9,11.19,1:09.35
1,9.93,1:12.73,5,11.75,1:20.44,6,11.53,1:20.57,8,11.49,1:20.75,7,11.50,1:20.66,2,11.28,1:20.06,3,11.31,1:20.23,4,11.70,1:20.31,10,11.43,1:20.91,9,11.51,1:20.86
1,10.04,1:22.77,5,9.96,1:30.40,6,9.96,1:30.53,8,10.02,1:30.77,7,10.00,1:30.66,2,9.53,1:29.59,3,9.62,1:29.85,4,9.73,1:30.04,10,10.18,1:31.09,9,10.07,1:30.93
1,10.20,1:32.97,5,10.30,1:40.70,6,10.25,1:40.78,9,10.19,1:40.96,7,10.21,1:40.87,2,10.84,1:40.43,3,10.66,1:40.51,4,10.56,1:40.60,8,9.81,1:40.90,10,10.12,1:41.05
1,10.55,1:43.52,6,11.53,1:52.23,7,11.58,1:52.36,10,11.60,1:52.56,9,11.61,1:52.48,4,11.49,1:51.92,5,11.52,1:52.03,3,11.22,1:51.82,2,10.83,1:51.73,8,11.39,1:52.44
