Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME
1,6.78,6.78,2,6.91,6.91,3,7.16,7.16,4,7.24,7.24
1,8.83,15.61,2,8.80,15.71,3,8.91,16.07,4,8.84,16.08
1,8.38,23.99,2,8.38,24.09,4,8.65,24.72,3,8.54,24.62
2,8.51,32.50,1,8.40,32.49,4,8.74,33.46,3,8.71,33.33
2,8.88,41.376,1,8.79,41.277,4,8.87,42.326,3,8.90,42.221
