van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
2,12.64,12.64,3,12.74,12.74,1,12.59,12.59,4,12.88,12.88,5,12.96,12.96
2,9.63,22.27,2,9.53,22.27,1,9.57,22.16,4,9.53,22.41,5,9.51,22.47
3,9.45,31.72,2,9.34,31.61,1,9.29,31.45,4,9.40,31.81,5,9.41,31.88
3,9.22,40.94,2,9.24,40.85,1,9.32,40.77,4,9.24,41.05,5,9.25,41.13
4,9.46,50.40,2,9.46,50.31,1,9.43,50.20,3,9.32,50.37,5,9.43,50.56
3,9.31,59.71,4,9.53,59.84,2,9.42,59.62,1,9.08,59.45,5,9.29,59.85
3,9.37,1:09.08,5,9.74,1:09.58,2,9.34,1:08.96,1,9.28,1:08.73,4,9.42,1:09.27
3,9.34,1:18.42,5,9.98,1:19.56,2,9.34,1:18.30,1,9.52,1:18.25,4,9.29,1:18.56
3,9.68,1:28.10,5,11.06,1:30.628,2,9.70,1:28.00,1,9.60,1:27.85,4,9.67,1:28.232
