Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME
1,7.605,7.605,2,7.778,7.778,3,7.818,7.818,4,7.920,7.920
1,9.915,17.521,2,9.798,17.576,3,9.880,17.698,4,9.905,17.825
1,9.450,26.971,4,9.588,27.164,2,9.410,27.108,3,9.321,27.145
1,9.624,36.594,4,11.006,38.170,2,9.551,36.659,3,9.992,37.137
2,10.025,46.619,4,11.441,49.611,1,9.660,46.319,3,10.548,47.685
