Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
3,8.23,8.23,2,8.12,8.12,1,8.01,8.01,5,8.37,8.37,6,8.57,8.57,4,8.26,8.26
3,11.15,19.38,2,11.17,19.29,1,11.16,19.17,5,11.27,19.64,6,11.22,19.79,4,11.22,19.48
3,10.84,30.22,2,10.82,30.11,1,10.81,29.98,6,10.85,30.49,5,10.60,30.39,4,10.80,30.28
3,10.85,41.07,2,10.85,40.96,1,10.87,40.85,6,10.90,41.39,5,10.90,41.29,4,10.91,41.19
3,10.89,51.96,2,10.91,51.87,1,10.86,51.71,6,10.87,52.26,5,10.87,52.16,4,10.87,52.06
3,10.88,1:02.84,2,10.86,1:02.73,1,10.90,1:02.61,6,10.91,1:03.17,5,10.90,1:03.06,4,10.89,1:02.95
4,10.15,1:12.99,2,10.09,1:12.82,1,10.12,1:12.73,6,10.03,1:13.20,5,9.99,1:13.05,3,9.94,1:12.89
6,9.88,1:22.87,2,9.54,1:22.36,1,9.53,1:22.26,5,9.53,1:22.73,4,9.51,1:22.56,3,9.57,1:22.46
6,9.59,1:32.46,2,9.61,1:31.97,1,9.67,1:31.93,5,9.58,1:32.31,4,9.60,1:32.16,3,9.58,1:32.04
6,9.49,1:41.95,1,9.12,1:41.09,4,9.37,1:41.30,5,9.42,1:41.73,3,9.13,1:41.29,2,9.13,1:41.17
6,9.56,1:51.51,1,9.21,1:50.30,4,9.44,1:50.74,5,9.59,1:51.32,3,9.18,1:50.47,2,9.21,1:50.38
6,9.87,2:01.38,1,9.09,1:59.39,4,9.44,2:00.18,5,9.86,2:01.18,3,9.10,1:59.57,2,9.09,1:59.47
6,10.09,2:11.47,1,9.27,2:08.66,4,9.71,2:09.89,5,10.15,2:11.33,3,9.26,2:08.83,2,9.25,2:08.72
4,10.13,2:21.596,1,9.54,2:18.199,3,9.96,2:19.847,5,10.41,2:21.734,0,,PEN,2,10.27,2:18.986
