Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,16.88,16.88,1,16.79,16.79,3,17.04,17.04,4,17.25,17.25
1,12.93,29.81,2,13.12,29.91,3,13.05,30.09,4,12.99,30.24
1,11.99,41.80,2,11.99,41.90,3,11.96,42.05,4,11.96,42.20
1,11.35,53.15,2,11.36,53.26,3,11.32,53.37,4,11.27,53.47
1,10.58,1:03.73,2,10.55,1:03.81,3,10.47,1:03.84,4,10.43,1:03.90
4,27.13,1:30.86,2,9.62,1:13.43,1,9.44,1:13.28,3,26.75,1:30.65
4,16.83,1:47.69,2,9.36,1:22.79,1,9.22,1:22.50,3,14.41,1:45.06
4,13.33,2:01.02,2,9.36,1:32.15,1,9.45,1:31.95,3,11.15,1:56.21
3,14.20,2:15.220,1,9.48,1:41.631,0,,PEN,2,10.73,2:06.933
