HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME
1,12.95,12.95,3,13.26,13.26,2,13.07,13.07,4,13.38,13.38,5,13.50,13.50
1,9.88,22.83,3,9.80,23.06,2,9.85,22.92,4,9.75,23.13,5,9.73,23.23
1,9.67,32.50,3,9.69,32.75,2,9.70,32.62,4,9.76,32.89,5,9.77,33.00
1,9.44,41.94,3,9.43,42.18,2,9.44,42.06,4,9.40,42.29,5,9.57,42.57
5,36.76,1:18.70,2,9.54,51.72,1,9.54,51.60,3,9.51,51.80,4,9.65,52.22
5,19.05,1:37.75,1,9.56,1:01.28,2,9.69,1:01.29,3,9.67,1:01.47,4,9.88,1:02.10
5,12.76,1:50.51,1,9.79,1:11.07,2,9.92,1:11.21,3,9.83,1:11.30,4,10.20,1:12.30
5,11.91,2:02.42,1,9.97,1:21.04,2,9.96,1:21.17,3,9.97,1:21.27,4,10.47,1:22.77
5,11.55,2:13.969,1,10.14,1:31.180,2,10.14,1:31.306,3,10.25,1:31.516,4,10.78,1:33.542
