Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,MINEAU Joel POSITION,MINEAU Joel LAP TIME,MINEAU Joel ELAPSED TIME,LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
1,9.338,9.338,2,9.413,9.413,4,9.776,9.776,5,9.933,9.933,6,10.051,10.051,3,9.448,9.448
2,14.169,23.506,1,14.072,23.484,4,14.130,23.906,6,14.090,24.023,5,13.890,23.941,3,14.331,23.778
3,12.455,35.961,1,12.289,35.773,2,12.004,35.910,5,12.598,36.620,6,12.705,36.645,4,12.373,36.150
3,11.488,47.448,2,11.627,47.399,1,11.475,47.384,5,11.367,47.987,6,11.496,48.140,4,11.367,47.517
3,11.421,58.869,1,11.238,58.637,2,11.316,58.700,5,11.321,59.308,6,11.176,59.316,4,11.497,59.014
2,10.565,1:09.434,1,10.582,1:09.219,3,10.760,1:09.460,4,10.617,1:09.924,6,10.901,1:10.216,5,10.957,1:09.970
2,10.504,1:19.937,5,11.123,1:20.342,1,10.419,1:19.879,4,10.346,1:20.270,6,10.191,1:20.407,3,10.166,1:20.136
3,10.146,1:30.083,1,9.468,1:29.810,2,10.111,1:29.990,5,10.034,1:30.304,6,10.083,1:30.489,4,10.150,1:30.285
5,10.285,1:40.368,2,10.316,1:40.125,3,10.140,1:40.129,6,10.340,1:40.644,1,9.239,1:39.728,4,10.000,1:40.285
4,9.986,1:50.354,2,9.872,1:49.997,3,10.082,1:50.211,5,9.822,1:50.465,1,9.358,1:49.085,6,10.184,1:50.468
5,10.360,2:00.713,3,10.394,2:00.391,4,10.232,2:00.442,2,9.451,1:59.916,1,9.574,1:58.659,6,10.362,2:00.829
5,10.455,2:11.167,3,10.389,2:10.779,4,10.581,2:11.023,2,9.818,2:09.734,1,10.255,2:08.913,6,10.617,2:11.445
5,10.900,2:22.067,3,10.572,2:21.351,4,10.835,2:21.858,2,10.252,2:19.985,1,10.542,2:19.455,6,10.943,2:22.388
5,10.43,2:32.493,3,11.02,2:32.369,4,10.59,2:32.446,1,10.34,2:30.320,2,11.02,2:30.472,6,11.14,2:33.519
