HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME
1,13.12,13.12,2,13.22,13.22,4,13.34,13.34,3,13.26,13.26
2,9.78,22.90,4,9.87,23.09,1,9.37,22.71,3,9.69,22.95
2,9.48,32.38,4,9.49,32.58,1,9.53,32.24,3,9.55,32.50
2,9.61,41.99,4,9.62,42.20,1,9.64,41.88,3,9.62,42.12
2,9.84,51.83,4,9.86,52.06,1,9.84,51.72,3,9.83,51.95
2,9.72,1:01.55,3,9.62,1:01.68,1,9.74,1:01.46,4,9.84,1:01.79
1,9.49,1:11.04,3,9.53,1:11.21,2,9.58,1:11.04,4,9.57,1:11.36
1,9.47,1:20.51,3,9.47,1:20.68,2,9.54,1:20.58,4,9.44,1:20.80
1,9.75,1:30.255,3,9.79,1:30.470,2,9.79,1:30.368,4,10.08,1:30.880
