ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME
2,12.65,12.65,3,12.78,12.78,1,12.51,12.51,4,12.96,12.96,5,13.17,13.17
2,9.60,22.26,4,9.67,22.45,1,9.63,22.14,3,9.48,22.45,5,9.53,22.70
2,9.46,31.72,4,9.49,31.94,1,9.41,31.56,3,9.43,31.89,5,9.38,32.08
2,9.66,41.39,3,9.60,41.55,1,9.61,41.18,4,9.69,41.58,5,9.54,41.63
2,9.84,51.24,3,9.91,51.46,1,9.96,51.14,5,9.95,51.54,4,9.84,51.48
2,9.79,1:01.03,3,9.72,1:01.19,1,9.86,1:01.00,4,9.76,1:01.30,5,10.30,1:01.78
2,9.73,1:10.77,3,9.69,1:10.88,1,9.66,1:10.67,4,9.71,1:11.02,5,9.65,1:11.44
2,9.56,1:20.33,4,9.76,1:20.65,1,9.47,1:20.15,3,9.39,1:20.41,5,10.63,1:22.08
1,9.56,1:29.887,4,10.07,1:30.718,3,9.97,1:30.111,2,9.57,1:29.974,5,11.44,1:33.514
